sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
swmec,m,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
swemcpb,m,0,general,city,no,never,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,<,>,>,>,>,>,>,>,>,>,>,<,>,<,<
mscew,m,1,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
wmsec,m,0,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
semcwd,m,1,higher,town,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,>,<
wpesc,m,0,professional,town,yes,sev_a_year,1,0,0,0,1,1,1,1,<,<,<,<,>,<,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wepsmc,m,1,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wesmc,m,0,general,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
semwcdp,m,0,professional,village,no,never,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,<,<
smcwe,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,>,<
eswpmbdc,m,1,professional,village,yes,sev_a_year,1,1,1,1,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,<,>,>,>,<,>,>,>,<,<,<,<,>,<,<
sewmc,m,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
ews,m,1,professional,city,yes,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,<,<,<,<,<
semcwd,m,1,higher,town,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,>,<
smewc,m,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmc,m,1,professional,town,yes,min_once_a_month,0,1,0,0,1,1,0,1,>,n,n,>,>,n,>,<,<,>,>,<,<,n,>,>,n,>,>,>,n,>,<,<,<,<,<,>
