gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;last_ev
f;higher;city;yes;min_once_a_month;6g;0;1;0;0;1;1;1;1;partner
f;higher;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;div
m;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;child
m;higher;city;yes;sev_a_week;8g;0;1;0;0;1;1;0;1;work
f;professional;city;yes;sev_a_year;6g;0;0;0;0;0;1;1;1;marriage
m;higher;city;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;general;city;yes;sev_a_week;1g;0;1;0;0;0;1;1;1;child
f;higher;city;yes;min_once_a_month;9g;0;1;0;1;1;1;0;1;work
f;professional;city;yes;min_once_a_month;5g;1;0;1;0;1;1;1;1;marriage
f;professional;city;yes;sev_a_year;5g;1;0;1;0;0;1;1;1;child
f;professional;city;yes;never;8g;0;1;0;0;1;1;1;1;div
m;higher;city;yes;sev_a_year;11g;0;0;0;0;1;0;1;1;marriage
m;higher;city;yes;sev_a_year;8g;1;1;0;0;1;0;1;1;sep
m;higher;city;no;never;4g;0;1;0;0;0;1;1;1;child
m;professional;city;yes;sev_a_year;11g;0;0;0;0;0;0;0;1;work
f;professional;city;yes;sev_a_year;4g;0;1;0;0;1;0;1;1;sep
m;professional;city;yes;never;10g;1;1;0;0;0;1;1;1;child
m;higher;city;yes;sev_a_year;10g;0;1;0;0;1;1;1;0;education
f;higher;city;yes;never;6g;0;0;0;0;1;0;1;1;sep
f;professional;city;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;sep
m;higher;city;yes;sev_a_year;9g;1;1;1;0;1;1;1;1;div
f;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;child
f;higher;city;yes;sev_a_year;10g;0;1;0;1;1;1;1;0;education
f;professional;city;yes;sev_a_year;9g;0;1;0;0;1;1;1;1;div
