partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
;260;;;294;223;260;285;higher;city;yes;sev_a_year;10g;m
;;;;266;214;291;268;higher;city;yes;never;6g;f
;257;;;258;260;271;269;professional;city;yes;sev_a_year;2g;f
326;330;428;432;261;262;273;388;higher;city;yes;sev_a_year;9g;m
;250;;;235;240;251;260;professional;city;yes;sev_a_year;7g;f
;223;;252;360;253;223;233;higher;city;yes;sev_a_year;10g;f
;242;;308;237;266;262;236;professional;city;yes;sev_a_year;9g;f
;228;;;235;199;206;240;general;city;yes;min_once_a_month;4g;f
344;;;;339;231;188;357;higher;city;yes;sev_a_year;6g;f
222;236;254;254;219;221;244;239;professional;city;yes;sev_a_year;9g;f
;282;;;197;194;188;294;professional;city;yes;min_once_a_month;1g;f
;;;;210;204;192;296;general;city;yes;min_once_a_month;2g;f
;208;;;210;234;;220;general;city;yes;sev_a_year;9g;f
;272;;;284;200;179;283;professional;city;no;never;4g;m
;285;;;226;180;177;327;professional;city;yes;sev_a_year;3g;m
;259;;;210;213;144;278;professional;city;yes;sev_a_year;2g;f
299;;;;320;243;216;310;higher;city;yes;never;7g;m
576;;687;;234;196;223;;general;city;yes;sev_a_year;5g;f
247;265;349;351;278;280;231;269;higher;city;yes;sev_a_year;11g;m
525;261;745;;305;221;250;284;general;city;yes;sev_a_year;2g;f
;292;;;312;238;292;306;higher;city;yes;sev_a_year;11g;f
;273;;;256;223;244;282;general;city;yes;sev_a_year;4g;f
;261;;;226;210;310;284;professional;city;yes;sev_a_year;7g;m
262;264;495;;382;216;264;271;professional;city;yes;sev_a_year;6g;f
;281;;;309;203;343;289;higher;city;yes;sev_a_year;9g;m
;363;;;231;261;370;448;professional;city;yes;never;6g;m
;266;;284;223;226;244;284;professional;city;no;sev_a_year;5g;f
;;;;212;232;;236;professional;city;yes;never;11g;f
;286;;;281;248;436;298;professional;city;yes;sev_a_year;7g;m
;;;;222;223;201;;professional;city;yes;sev_a_year;7g;m
;226;;;227;202;181;233;professional;city;yes;sev_a_year;7g;f
223;;;;213;213;223;262;professional;city;yes;never;6g;m
;277;;;227;258;347;292;professional;city;yes;min_once_a_month;8g;m
;;;;218;256;173;;professional;city;yes;sev_a_year;10g;m
;281;;;206;208;173;289;professional;city;yes;sev_a_year;6g;f
;262;;;223;226;226;295;professional;city;yes;never;6g;f
;215;;;253;195;172;257;professional;city;yes;sev_a_year;5g;f
264;272;;;353;223;188;278;general;city;yes;sev_a_year;9g;f
;;;;220;225;225;369;general;city;yes;never;1g;m
327;298;;322;287;216;181;309;professional;city;yes;sev_a_year;4g;m
;233;;;216;216;300;245;professional;city;yes;sev_a_year;7g;f
276;277;;;280;223;276;371;professional;city;yes;never;7g;f
;313;;;375;192;215;;professional;city;yes;never;4g;m
284;290;;;241;243;196;289;higher;city;yes;never;10g;f
276;282;585;;415;260;227;289;general;city;no;never;4g;m
348;220;;235;296;318;238;226;higher;city;yes;never;10g;f
239;;273;;240;241;239;297;professional;city;yes;sev_a_year;10g;f
320;215;344;344;292;204;212;231;professional;city;yes;sev_a_year;9g;f
;218;;;225;225;217;233;professional;city;yes;sev_a_year;5g;f
;367;;;254;255;222;382;professional;city;yes;never;4g;f
;251;;;286;240;180;257;higher;city;yes;sev_a_year;4g;f
230;232;317;328;259;235;230;264;higher;city;yes;sev_a_year;10g;f
;;;;206;233;207;243;professional;city;yes;sev_a_year;5g;f
377;472;479;;230;242;206;244;general;city;no;never;7g;f
;305;;;283;223;201;317;professional;city;no;never;4g;f
;245;;277;253;256;258;257;higher;city;yes;never;8g;f
304;234;;284;202;203;181;259;professional;city;yes;sev_a_year;6g;m
283;;;;228;231;283;;professional;city;yes;sev_a_year;10g;m
;288;;;273;274;288;292;higher;city;no;never;9g;m
246;255;549;485;210;210;326;262;professional;city;yes;never;5g;f
;282;;;230;230;221;279;professional;city;yes;never;4g;m
;273;;;275;278;300;290;professional;city;yes;min_once_a_month;2g;f
;;;;215;216;221;287;professional;city;no;never;8g;f
;240;;;269;271;296;252;higher;city;no;never;8g;f
217;227;303;303;217;217;184;228;professional;city;yes;sev_a_year;8g;f
256;257;;;231;203;257;264;professional;city;yes;sev_a_year;2g;f
269;272;;;246;248;269;276;professional;city;yes;never;11g;f
;241;;;277;300;207;280;higher;city;yes;never;10g;f
