partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
0;1;0;1;1;1;1;1;;238;;251;173;232;238;241;>;n;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;5g;f
1;1;0;0;1;1;1;1;254;261;;;225;248;254;262;<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;11g;m
1;1;1;1;1;1;1;1;366;367;385;393;239;241;367;381;<;<;<;>;>;<;<;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;9g;f
1;1;1;1;1;1;1;1;472;221;496;414;222;221;213;230;>;<;>;>;>;>;>;<;<;<;=;>;<;>;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;village;yes;sev_a_year;6g;f
0;0;0;0;1;1;1;1;;;;;138;212;220;334;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;never;1g;f
1;0;1;0;1;1;1;1;246;;264;;191;191;246;255;<;<;<;>;>;=;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;=;<;<;<;<;<;general;village;yes;sev_a_year;1g;f
1;1;1;0;1;1;1;1;268;230;393;;228;257;575;241;>;<;<;>;>;<;>;<;<;>;<;<;<;<;>;>;<;>;>;>;>;>;<;<;<;<;>;>;professional;village;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;;240;;;221;212;212;248;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;=;<;<;professional;village;yes;sev_a_year;8g;f
1;1;0;0;1;1;1;1;213;217;;;369;262;204;217;<;<;<;<;<;>;<;<;<;<;<;>;=;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;professional;village;yes;never;9g;f
1;1;1;0;1;1;1;1;275;297;407;;256;179;308;282;<;<;<;>;>;<;<;<;<;>;>;<;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;>;professional;village;yes;never;2g;f
1;1;1;1;1;1;1;1;364;250;521;281;209;245;250;264;>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;5g;f
0;0;0;0;1;1;1;1;;;;;172;244;249;259;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;2g;f
1;1;1;0;1;1;1;1;282;609;312;;218;186;514;291;<;<;<;>;>;<;<;>;<;>;>;>;>;<;>;>;<;>;>;>;>;>;>;<;<;<;<;>;professional;village;yes;never;6g;m
1;1;0;1;1;1;1;1;565;244;;509;294;206;317;261;>;<;>;>;>;>;>;<;<;<;>;<;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;>;professional;village;yes;never;5g;f
0;1;0;0;1;1;1;1;;281;;;439;294;262;412;>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;village;yes;never;4g;m
1;1;0;1;1;1;1;1;400;224;;319;221;222;248;234;>;<;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;village;yes;never;9g;f
0;1;0;0;1;1;1;1;;284;;;237;263;284;293;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;8g;m
0;0;0;0;1;1;1;1;;;;;270;272;346;320;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;village;yes;never;9g;f
0;1;0;0;1;1;1;1;;240;;;231;258;196;260;>;n;n;>;>;>;>;<;<;>;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;village;yes;never;6g;m
