,work,separation,partner,marriage,children,gender,generation,Text
1425,0.064462655,0.045557583,0.06317345,0.063384288,0.064293186,0,5,5
1445,0.061532534,0.064316588,0.058313953,0.058508573,0.047624583,1,4,4
1467,0.055672293,0.03751801,0.048594961,0.048757144,0.092867936,1,5,5
1476,0.046881931,0.069676304,0.06317345,0.07069786,0.071436874,0,5,5
1483,0.052742172,0.053597157,0.048594961,0.048757144,0.047624583,1,6,6
1494,0.046881931,0.056277014,0.055884205,0.056070716,0.057149499,0,2,2
1526,0.064462655,0.058956872,0.053454457,0.056070716,0.05476827,1,3,3
1551,0.055672293,0.048237441,0.043735465,0.046319287,0.047624583,1,4,4
1555,0.041021689,0.040197867,0.036446221,0.058508573,0.057149499,0,6,6
1556,0.041021689,0.042877725,0.053454457,0.063384288,0.061911957,1,3,3
1561,0.046881931,0.06163673,0.048594961,0.056070716,0.05476827,1,4,4
1570,0.055672293,0.06163673,0.055884205,0.048757144,0.050005812,1,6,6
1575,0.04395181,0.080395735,0.051024709,0.051195002,0.052387041,1,2,2
1578,0.058602413,0.058956872,0.085041182,0.085325003,0.059530728,0,5,5
1579,0.049812051,0.056277014,0.051024709,0.056070716,0.05476827,1,6,6
1583,0.049812051,0.050917299,0.053454457,0.053632859,0.05476827,0,4,4
1585,0.049812051,0.050917299,0.046165213,0.048757144,0.050005812,1,0,0
1587,0.04395181,0.048237441,0.036446221,0.051195002,0.050005812,1,0,0
1592,0.052742172,0.045557583,0.051024709,0.051195002,0.052387041,1,5,5
1598,0.049812051,0.064316588,0.058313953,0.058508573,0.061911957,1,3,3
1601,0.052742172,0.042877725,0.060743701,0.063384288,0.066674416,0,5,5
1603,0.046881931,0.042877725,0.046165213,0.046319287,0.047624583,1,2,2
1605,0.055672293,0.042877725,0.048594961,0.048757144,0.050005812,1,2,2
1608,0.049812051,0.056277014,0.051024709,0.065822145,0.064293186,0,5,5
1613,0.055672293,0.053597157,0.048594961,0.048757144,0.047624583,1,5,5
1622,0.058602413,0.053597157,0.055884205,0.053632859,0.057149499,1,4,4
1626,0.052742172,0.048237441,0.043735465,0.04388143,0.050005812,1,2,2
1640,0.049812051,0.048237441,0.043735465,0.048757144,0.05476827,1,5,5
1642,0.061532534,0.040197867,0.053454457,0.051195002,0.052387041,0,0,0
1661,0.046881931,0.050917299,0.055884205,0.056070716,0.050005812,1,5,5
1665,0.076183137,0.069676304,0.058313953,0.058508573,0.050005812,1,3,3
1672,0.041021689,0.053597157,0.07532219,0.068260002,0.071436874,0,1,1
1674,0.049812051,0.045557583,0.058313953,0.058508573,0.066674416,0,2,2
1677,0.04395181,0.06163673,0.06317345,0.056070716,0.052387041,1,2,2
1678,0.058602413,0.06163673,0.055884205,0.053632859,0.05476827,1,1,1
1679,0.055672293,0.06163673,0.055884205,0.056070716,0.057149499,0,4,4
1680,0.061532534,0.06163673,0.070462694,0.056070716,0.064293186,1,2,2
1710,0.058602413,0.045557583,0.058313953,0.058508573,0.059530728,0,6,6
1727,0.052742172,0.048237441,0.051024709,0.051195002,0.052387041,1,4,4
1730,0.061532534,0.048237441,0.06317345,0.063384288,0.064293186,0,5,5
1733,0.064462655,0.045557583,0.058313953,0.060946431,0.059530728,1,5,5
1736,0.049812051,0.048237441,0.106908915,0.065822145,0.066674416,1,4,4
1738,0.114274706,0.050917299,0.046165213,0.046319287,0.047624583,1,4,4
1759,0.064462655,0.040197867,0.053454457,0.056070716,0.05476827,0,6,6
1765,0.058602413,0.066996446,0.048594961,0.048757144,0.047624583,1,3,3
1766,0.041021689,0.048237441,0.043735465,0.046319287,0.045243353,1,0,0
1769,0.052742172,0.050917299,0.058313953,0.058508573,0.069055645,0,3,3
1770,0.064462655,0.050917299,0.046165213,0.046319287,0.052387041,1,6,6
1794,0.052742172,0.050917299,0.046165213,0.046319287,0.047624583,1,4,4
1795,0.052742172,0.053597157,0.048594961,0.046319287,0.050005812,1,6,6
