gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;professional;village;yes;never;8g;0;1;0;0;0;0;1;1;;295;;;;;226;224;child
f;professional;village;yes;min_once_a_month;3g;0;1;0;1;1;0;1;1;;288;;291;307;;242;240;partner
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;274;;;;278;248;221;child
m;higher;village;yes;never;8g;0;1;0;0;1;0;1;1;;353;;;359;;288;260;sep
f;general;village;yes;sev_a_year;5g;0;0;0;0;1;1;1;1;;;;;225;272;212;225;partner
f;professional;village;yes;sev_a_year;6g;0;1;0;0;1;1;0;1;;228;;;224;228;;247;work
f;professional;village;yes;sev_a_year;8g;0;1;0;0;1;0;1;1;;233;;;236;;219;219;sep
f;higher;village;yes;sev_a_year;7g;0;1;0;0;1;0;1;1;;234;;;239;;230;228;sep
f;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;;258;;;;286;206;201;child
f;professional;village;yes;never;6g;1;0;1;0;0;1;1;1;391;;397;;;358;215;295;child
f;general;village;yes;never;9g;0;1;0;1;1;0;1;1;;323;;341;334;;220;231;sep
f;general;village;yes;never;7g;0;0;0;0;1;0;1;1;;;;;250;;167;205;sep
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;;;;;;282;200;154;child
f;general;village;yes;sev_a_year;4g;0;0;0;0;0;1;1;1;;;;;;218;209;208;child
f;general;village;yes;sev_a_year;5g;0;1;0;1;0;1;1;1;;216;;227;;184;200;229;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;242;;;;203;237;248;child
f;professional;village;yes;sev_a_year;9g;0;0;0;0;1;1;1;1;;;;;259;185;221;218;marriage
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;243;;;;202;235;235;child
m;general;village;no;never;7g;0;1;0;0;1;0;1;1;;282;;;314;;262;259;sep
f;professional;village;yes;sev_a_year;11g;1;1;0;0;0;1;1;1;234;236;;;;183;208;230;child
m;professional;village;yes;sev_a_year;10g;1;0;0;0;0;1;1;1;269;;;;;185;262;230;child
m;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;;248;;;;217;254;254;child
m;higher;village;no;never;11g;0;0;0;0;0;1;1;1;;;;;;209;268;266;marriage
m;professional;village;no;never;7g;0;1;0;0;0;1;1;1;;244;;;;213;213;213;child
m;professional;village;yes;never;10g;0;1;0;0;0;1;1;1;;286;;;;212;262;256;child
f;professional;village;yes;sev_a_year;5g;1;1;0;0;0;1;1;1;253;270;;;;182;207;206;child
m;professional;village;yes;never;3g;0;1;0;0;0;1;1;1;;310;;;;177;153;202;child
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;;268;;;271;;225;225;sep
f;professional;village;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;260;;;;257;242;242;child
f;higher;village;yes;sev_a_year;5g;0;1;0;0;1;1;0;1;;219;;;265;196;;397;work
f;general;village;yes;never;6g;0;1;0;0;1;1;1;1;;247;;;264;254;216;230;partner
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;;258;;;193;;260;229;sep
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;259;;;;196;238;238;child
