gender;education type;locality;religion;how_often;generation;first_event
f;general;village;yes;sev_a_year;6g;education
f;general;village;no;never;11g;education
m;general;village;no;never;6g;work
m;professional;village;no;never;5g;marriage
f;general;village;no;never;1g;work
f;general;village;yes;never;2g;work
f;professional;village;no;never;11g;sep
f;general;village;yes;sev_a_year;5g;work
f;professional;village;yes;sev_a_year;8g;marriage
f;professional;village;yes;never;6g;sep
f;general;village;yes;sev_a_year;6g;partner
f;professional;village;yes;sev_a_year;7g;education
m;professional;village;no;never;6g;partner
f;higher;village;yes;sev_a_year;10g;sep
f;professional;village;yes;never;8g;sep
f;professional;village;yes;sev_a_year;8g;work
f;professional;village;no;never;10g;sep
f;general;village;yes;never;2g;work
f;higher;village;yes;sev_a_year;8g;sep
f;professional;village;yes;never;6g;education
f;professional;village;yes;sev_a_year;7g;education
f;professional;village;no;never;6g;work
m;professional;village;yes;never;7g;sep
f;professional;village;yes;sev_a_year;6g;sep
m;general;village;no;never;10g;work
m;general;village;yes;sev_a_year;8g;sep
m;professional;village;yes;never;8g;sep
f;professional;village;yes;sev_a_year;10g;marriage
f;general;village;yes;sev_a_year;2g;education
m;general;village;yes;never;4g;work
f;higher;village;yes;sev_a_year;8g;sep
f;professional;village;yes;sev_a_year;7g;work
m;higher;village;yes;never;6g;work
f;professional;village;yes;never;6g;work
f;professional;village;no;never;5g;marriage
f;higher;village;yes;never;11g;education
m;professional;village;yes;never;6g;work
f;professional;village;yes;sev_a_year;4g;education
f;higher;village;yes;sev_a_year;5g;work
f;higher;village;yes;sev_a_year;7g;education
f;professional;village;yes;sev_a_year;8g;work
f;higher;village;yes;sev_a_year;8g;education
f;professional;village;no;never;7g;work
f;higher;village;no;never;8g;work
f;professional;village;yes;sev_a_year;6g;sep
f;professional;village;no;never;7g;partner
f;higher;village;yes;never;8g;sep
f;higher;village;no;never;11g;work
f;higher;village;yes;sev_a_year;6g;sep
f;higher;village;yes;never;8g;work
f;professional;village;yes;never;10g;education
f;professional;village;yes;never;5g;work
f;higher;village;yes;never;2g;sep
f;higher;village;yes;sev_a_year;9g;sep
f;professional;village;yes;once_a_week;6g;work
f;higher;village;yes;sev_a_year;11g;sep
f;higher;village;yes;sev_a_year;9g;sep
f;higher;village;yes;never;8g;sep
m;professional;village;no;never;10g;sep
m;professional;village;no;never;5g;sep
m;professional;village;no;never;6g;work
f;professional;village;no;never;6g;sep
f;higher;village;yes;never;8g;marriage
f;professional;village;yes;sev_a_year;3g;work
f;professional;village;yes;sev_a_year;1g;work
f;professional;village;no;never;9g;work
f;general;village;no;never;7g;marriage
m;higher;village;no;never;6g;work
f;higher;village;yes;min_once_a_month;8g;sep
f;general;village;no;never;5g;work
f;professional;village;yes;sev_a_year;4g;sep
m;general;village;no;never;4g;work
m;professional;village;no;never;4g;work
f;professional;village;yes;min_once_a_month;8g;sep
f;professional;village;no;never;6g;work
f;professional;village;yes;never;4g;partner
f;professional;village;yes;never;2g;work
f;professional;village;no;never;6g;sep
